Image,PSNR
Image_01,35.935970306396484
Image_02,35.374359130859375
Image_03,31.884897232055664
Image_04,35.516754150390625
Image_05,34.9262580871582
Image_06,35.38336944580078
Image_07,33.29727554321289
Image_08,35.39010238647461
Image_09,36.55122756958008
Image_10,35.921443939208984
Image_11,34.01836013793945
Image_12,34.87776565551758
Image_13,35.725826263427734
Image_14,35.727745056152344
Image_15,32.04605484008789
Image_16,36.262535095214844
Image_17,35.69571304321289
Image_18,36.18267822265625
Image_19,35.563331604003906
Average,35.06745619522898
