Image,PSNR
Image_01,35.39372634887695
Image_02,34.319698333740234
Image_03,33.96246337890625
Image_04,33.7311897277832
Image_05,32.109832763671875
Image_06,34.7710075378418
Image_07,33.45337677001953
Image_08,32.772708892822266
Image_09,34.42335510253906
Image_10,35.270782470703125
Image_11,33.7452278137207
Image_12,33.73695755004883
Image_13,35.48897933959961
Image_14,33.258460998535156
Image_15,33.55207824707031
Image_16,34.36222839355469
Image_17,34.28850173950195
Image_18,34.70089340209961
Image_19,35.981422424316406
Average,34.17488901238693
